Wall time,Step,Value
1653328755.3392406,249,0.9243664741516113
1653328832.3264327,499,0.9384015798568726
1653328908.9184575,749,0.9598440527915955
1653328985.158634,999,0.8939571380615234
1653329062.1783628,1249,0.9021442532539368
1653329138.314521,1499,0.8175438642501831
1653329215.1804569,1749,0.8175438642501831
1653329291.6415546,1999,0.8374269008636475
1653329368.2601385,2249,0.7781676650047302
1653329445.0261667,2499,0.7606237530708313
1653329521.1463602,2749,0.7645224332809448
1653329597.4267037,2999,0.7497075796127319
1653329673.988276,3249,0.7695906162261963
1653329751.3171654,3499,0.7539960741996765
1653329827.8035007,3749,0.7793372273445129
1653329905.2542894,3999,0.7777777910232544
1653329980.6917403,4249,0.794152021408081
1653330056.1849494,4499,0.7734892964363098
1653330132.1997268,4749,0.7360624074935913
1653330208.22619,4999,0.7684210538864136
1653330284.4731047,5249,0.7945418953895569
1653330360.7492833,5499,0.7980507016181946
1653330437.6541142,5749,0.7851851582527161
1653330513.5240211,5999,0.7879142165184021
1653330589.495288,6249,0.7801169753074646
1653330665.745962,6499,0.7816764116287231
1653330742.246923,6749,0.761403501033783
1653330818.8222492,6999,0.8378167748451233
1653330895.2644534,7249,0.8140350580215454
1653330971.9270368,7499,0.7953216433525085
1653331048.724313,7749,0.7906432747840881
1653331125.8047557,7999,0.7816764116287231
1653331202.4528966,8249,0.7738791704177856
1653331278.7510924,8499,0.8187134265899658
1653331356.0700724,8749,0.8042885065078735
1653331433.2847342,8999,0.820662796497345
1653331510.1569219,9249,0.8085770010948181
1653331586.3721795,9499,0.8191033005714417
1653331662.274859,9749,0.7883040904998779
1653331738.594833,9999,0.7617933750152588
