Wall time,Step,Value
1653326052.0329382,249,1.0
1653326119.7434354,499,0.9741267561912537
1653326187.1862175,749,0.9689521193504333
1653326255.2761269,999,0.9715394377708435
1653326322.8032463,1249,0.9767140746116638
1653326391.3888967,1499,0.9857697486877441
1653326463.73444,1749,0.9870634078979492
1653326532.7712893,1999,0.9922380447387695
1653326600.4834397,2249,0.9974126815795898
1653326669.3131938,2499,0.9793014526367188
1653326739.043332,2749,0.9702457785606384
1653326808.5237029,2999,0.9805951118469238
1653326877.72879,3249,0.9909443855285645
1653326946.7891529,3499,0.9676584601402283
1653327015.6111739,3749,0.9586028456687927
1653327083.7478137,3999,0.9456662535667419
1653327151.861188,4249,0.9430789351463318
1653327219.4786305,4499,0.9611901640892029
1653327288.0964518,4749,0.9521345496177673
1653327356.571827,4999,0.9456662535667419
1653327425.7304265,5249,0.9430789351463318
1653327494.301104,5499,0.9404916167259216
1653327561.7282412,5749,0.9547218680381775
1653327629.5414572,5999,0.9495472311973572
1653327697.6341946,6249,0.9767140746116638
1653327765.719075,6499,0.963777482509613
1653327833.817534,6749,0.9974126815795898
1653327902.357388,6999,1.0090556144714355
1653327970.5211828,7249,0.9883570671081543
1653328039.0999005,7499,1.0077619552612305
1653328107.0497003,7749,0.9909443855285645
1653328175.5306733,7999,0.9780077338218689
1653328243.8688383,8249,0.9870634078979492
1653328311.6803808,8499,0.9948253631591797
1653328379.9880772,8749,0.9767140746116638
1653328447.4584863,8999,1.0245795249938965
