Wall time,Step,Value
1653344695.168266,34,0.8764132261276245
1653344747.5817943,69,0.7976608276367188
1653344797.9004397,104,0.8853800892829895
1653344846.9001505,139,0.7376218438148499
1653344895.636984,174,0.6463937759399414
1653344944.6929114,209,0.6226120591163635
1653344993.4739325,244,0.621052622795105
1653345042.0968359,279,0.6830409169197083
1653345091.2696714,314,0.7040935754776001
1653345140.1353679,349,0.6269006133079529
1653345188.3299892,384,0.6463937759399414
1653345236.405606,419,0.6331384181976318
1653345284.4066014,454,0.6276803016662598
1653345332.745821,489,0.6374269127845764
1653345381.8119023,524,0.6136451959609985
1653345430.655695,559,0.6179337501525879
1653345479.5279372,594,0.6163742542266846
1653345528.24423,629,0.6085770130157471
1653345576.6492147,664,0.6007797122001648
1653345625.8622007,699,0.6362572908401489
1653345674.7244766,734,0.6113060712814331
1653345723.3063915,769,0.6346978545188904
1653345772.235111,804,0.6253411173820496
1653345821.0752208,839,0.6670565009117126
1653345869.4866974,874,0.650682270526886
1653345918.0700722,909,0.689668595790863
1653345966.7157364,944,0.6343079805374146
1653346015.739518,979,0.587914228439331
1653346064.5360484,1014,0.6405457854270935
1653346113.1442156,1049,0.59415203332901
1653346162.0450447,1084,0.6159843802452087
1653346210.4764543,1119,0.6385964751243591
1653346258.9923275,1154,0.6046783328056335
1653346308.067065,1189,0.6089668869972229
1653346356.8614385,1224,0.618323564529419
1653346406.9656277,1259,0.5898635387420654
1653346456.31202,1294,0.6128655076026917
1653346507.0273688,1329,0.7107212543487549
1653346557.5046678,1364,0.6038986444473267
1653346608.2834568,1399,0.6319687962532043
1653346660.0103037,1434,0.7387914061546326
1653346713.1228106,1469,0.59415203332901
1653346765.2145858,1504,0.7005847692489624
1653346818.1194623,1539,0.644444465637207
1653346868.4742303,1574,0.614814817905426
1653346920.288807,1609,0.5847952961921692
1653346971.7923968,1644,0.6307992339134216
1653347022.3074367,1679,0.5953216552734375
1653347073.820367,1714,0.6214424967765808
1653347124.9287815,1749,0.6311891078948975
1653347176.6026242,1784,0.6584795117378235
1653347226.3402402,1819,0.6167641282081604
1653347276.0487766,1854,0.6736842393875122
1653347326.7911487,1889,0.6218323707580566
1653347379.5725503,1924,0.6315789222717285
1653347430.7296278,1959,0.6370370388031006
1653347481.2138765,1994,0.6175438761711121
1653347531.9183302,2029,0.6569200754165649
1653347582.255109,2064,0.6085770130157471
1653347632.00637,2099,0.6311891078948975
1653347683.2726731,2134,0.6483430862426758
1653347733.503287,2169,0.6198830604553223
1653347783.9313161,2204,0.6233918070793152
1653347834.2663136,2239,0.5996101498603821
1653347884.2635841,2274,0.6479532122612
1653347934.7605593,2309,0.6393762230873108
1653347985.313019,2344,0.6682261228561401
1653348036.335798,2379,0.6362572908401489
1653348087.8099513,2414,0.7348927855491638
