Wall time,Step,Value
1653336338.7954652,34,0.9688109159469604
1653336384.228885,69,0.6374269127845764
1653336430.8805783,104,0.6740740537643433
1653336477.100021,139,0.6842105388641357
1653336522.5314744,174,0.6276803016662598
1653336567.9143941,209,0.7653021216392517
1653336613.358067,244,0.6959064602851868
1653336658.7205236,279,0.7142300009727478
1653336704.2683375,314,0.6612085700035095
1653336750.1018429,349,0.6721247434616089
1653336796.315951,384,0.6565302014350891
1653336842.0376635,419,0.6744639277458191
1653336887.9824386,454,0.6292397379875183
1653336933.6493738,489,0.6912280917167664
1653336979.9250004,524,0.6943469643592834
1653337025.5456479,559,0.6323586702346802
1653337071.2748082,594,0.7493177652359009
1653337117.1133292,629,0.7360624074935913
1653337162.7560713,664,0.6756335496902466
1653337208.3315878,699,0.668615996837616
1653337254.118725,734,0.7169590592384338
1653337299.6310914,769,0.7130604386329651
1653337344.9554307,804,0.6662768125534058
1653337390.6336682,839,0.6222222447395325
1653337436.4160683,874,0.609356701374054
1653337481.9357524,909,0.6116958856582642
1653337527.5543125,944,0.6222222447395325
1653337573.0347428,979,0.6366471648216248
1653337618.317252,1014,0.6565302014350891
1653337663.598368,1049,0.6510721445083618
1653337709.3708465,1084,0.6573099493980408
1653337755.4053156,1119,0.653411328792572
1653337801.5215836,1154,0.6756335496902466
1653337847.6252694,1189,0.6385964751243591
1653337893.735395,1224,0.7126705646514893
1653337939.5277894,1259,0.6748538017272949
1653337985.5480213,1294,0.6783625483512878
1653338031.5217597,1329,0.7376218438148499
1653338077.2387865,1364,0.6916179060935974
1653338123.0055106,1399,0.6580896973609924
