Wall time,Step,Value
1653322181.859869,249,1.0
1653322235.6636226,499,0.9987063407897949
1653322289.5274422,749,0.9805951118469238
1653322343.8025887,999,0.9793014526367188
1653322397.6806133,1249,0.9676584601402283
1653322452.1911047,1499,0.9598965048789978
1653322505.8765647,1749,0.9689521193504333
1653322559.2854242,1999,0.9560155272483826
1653322612.6388078,2249,0.9521345496177673
1653322666.2242482,2499,0.9456662535667419
1653322720.1559963,2749,0.9314359426498413
1653322773.7753294,2999,0.9417852759361267
1653322827.4542875,3249,0.9223803281784058
1653322880.5401025,3499,0.9210866689682007
1653322933.8863127,3749,0.9120310544967651
1653322987.0429528,3999,0.9055627584457397
1653323040.530374,4249,0.8835704922676086
1653323094.1567461,4499,0.8719275593757629
1653323148.264825,4749,0.8783958554267883
1653323202.1457944,4999,0.890038788318634
1653323255.6523225,5249,0.8939197659492493
1653323308.6841862,5499,0.8861578106880188
1653323362.0316508,5749,0.8822768330574036
1653323415.932297,5999,0.8628719449043274
1653323469.2385588,6249,0.8978008031845093
1653323522.5093877,6499,0.8783958554267883
1653323577.3586555,6749,0.8719275593757629
1653323630.5966868,6999,0.8693402409553528
1653323683.7930727,7249,0.8667529225349426
1653323737.9517338,7499,0.8706339001655579
1653323793.2673762,7749,0.8615782856941223
1653323847.6145542,7999,0.8848641514778137
1653323901.6087039,8249,0.8758085370063782
1653323955.9502842,8499,0.8615782856941223
1653324009.0063481,8749,0.8693402409553528
1653324063.4864092,8999,0.8706339001655579
1653324117.0933921,9249,0.8667529225349426
1653324170.0587714,9499,0.856403648853302
1653324223.9196272,9749,0.8939197659492493
1653324278.4434164,9999,0.8719275593757629
