Wall time,Step,Value
1653338172.1890106,34,0.9274854063987732
1653338217.544484,69,0.731773853302002
1653338263.5046737,104,0.6982455849647522
1653338309.358245,139,0.6846004128456116
1653338355.7268162,174,0.6923976540565491
1653338401.53493,209,0.6908382177352905
1653338447.6727786,244,0.7621832489967346
1653338493.8916461,279,0.7079921960830688
1653338539.7893274,314,0.6951267123222351
1653338586.6306412,349,0.7095516324043274
1653338632.3551981,384,0.6900584697723389
1653338678.6592066,419,0.6639376282691956
1653338725.8529677,454,0.6627680063247681
1653338773.4654565,489,0.6495126485824585
1653338819.5691028,524,0.6846004128456116
1653338866.078105,559,0.6666666865348816
1653338912.3757112,594,0.6674463748931885
1653338961.5296946,629,0.6888889074325562
1653339011.7784965,664,0.6830409169197083
1653339063.261472,699,0.7040935754776001
1653339113.6132782,734,0.6658869385719299
1653339164.6483028,769,0.668615996837616
1653339215.2413359,804,0.6990253329277039
1653339266.7543523,839,0.6701754331588745
1653339317.759778,874,0.6522417068481445
1653339368.7346551,909,0.6931774020195007
1653339417.1059577,944,0.6522417068481445
1653339464.6448197,979,0.7816764116287231
1653339513.2999544,1014,0.626510739326477
1653339562.0629432,1049,0.6690058708190918
1653339610.5401301,1084,0.6662768125534058
1653339658.3721595,1119,0.6545808911323547
1653339707.737557,1154,0.6440545916557312
1653339754.533592,1189,0.7629629373550415
1653339801.67529,1224,0.6432748436927795
1653339848.846406,1259,0.6538011431694031
1653339896.1942031,1294,0.6994152069091797
1653339944.0677414,1329,0.6631578803062439
1653339992.5680268,1364,0.6436647176742554
1653340041.2179372,1399,0.7064327597618103
